NO,DATE,TIME,STATION,pH,DO,COND,TURB,TEMP,SAL,TDS,SWSG,NH4,BOD,TSS,DBT,CSQ,COD,NO3,MEM,PWR
1,1/1/2022,0:00,OL42,7.18,5.25,12.3,164.9,26.4,0,107,0,0,19.69,220.7,0,16,88.52,9.36,1184,13.34
2,1/1/2022,1:00,OL42,7.18,5.27,12.4,149.3,26.2,0,107.9,0,0,18.58,199.72,0,16,83.54,9.81,1185,13.34
3,1/1/2022,2:00,OL42,7.16,5.24,12.2,148.2,26.1,0,106.1,0,0,19.68,207.11,0,16,88.46,10.52,1185,13.34
4,1/1/2022,3:00,OL42,7.15,5.25,12.2,178.6,26,0,106.1,0,0,23.04,247.97,0,15,103.65,8.11,1185,13.29
5,1/1/2022,4:00,OL42,7.14,5.25,12.1,202.8,25.9,0,105.3,0,0,24.96,283.62,0,17,112.3,9.54,1186,13.29
6,1/1/2022,5:00,OL42,7.14,5.25,12.2,179.8,25.8,0,106.1,0,0,23.4,252.99,0,17,105.28,8.65,1186,13.24
7,1/1/2022,6:00,OL42,7.17,5.06,12.3,127.4,25.7,0,107,0,0,18.01,182.93,0,17,80.96,11.34,1186,13.24
8,1/1/2022,7:00,OL42,7.17,5.11,12.4,95.3,25.6,0,107.9,0,0,14.1,139.39,0,16,63.42,12.48,1187,13.34
9,1/1/2022,8:00,OL42,7.2,5.11,12.3,130.5,25.6,0,107,0,0,18.72,186.46,0,15,84.19,14.42,1187,13.5
10,1/1/2022,9:00,OL42,7.22,5.05,12.2,203,25.6,0,106.1,0,0,25.09,290,0,15,112.85,14.11,1187,13.7
11,1/1/2022,10:00,OL42,7.23,4.91,12,239.3,25.8,0,104.4,0,0,29.04,345.38,0,16,130.61,5.04,1188,13.7
12,1/1/2022,11:00,OL42,7.23,4.8,12,238.4,26,0,104.4,0,0,28.88,346.93,0,16,129.89,4.96,1188,13.7
13,1/1/2022,12:00,OL42,7.25,4.68,12,201.4,26.4,0,104.4,0,0,25.25,296.15,0,18,113.61,4.85,1188,13.7
14,1/1/2022,13:00,OL42,7.26,4.55,12,147.9,26.8,0,104.4,0,0,21.41,219.89,0,18,96.27,4.78,1189,13.7
15,1/1/2022,14:00,OL42,7.28,4.62,12.1,102.6,27.2,0,105.3,0,0,15.46,157.83,0,18,69.52,4.87,1189,13.7
16,1/1/2022,15:00,OL42,7.31,4.53,12.3,77.6,27.6,0,107,0,0,12.24,121.79,0,20,55.05,5.43,1189,13.7
17,1/1/2022,16:00,OL42,7.29,4.45,12.3,64.8,28.1,0,107,0,0,10.57,103.93,0,19,47.56,4.9,1190,13.7
18,1/1/2022,17:00,OL42,7.27,4.36,12.4,59.7,28.3,0,107.9,0,0,9.63,88.91,0,17,43.32,5.11,1190,13.7
19,1/1/2022,18:00,OL42,7.28,4.35,12.5,52.5,28.2,0,108.8,0,0,9.03,82.98,0,14,40.63,5.05,1190,13.55
