NO,DATE,TIME,STATION,pH,DO,COND,TURB,TEMP,SAL,TDS,SWSG,NH4,BOD,TSS,DBT,CSQ,COD,NO3,MEM,PWR
1,1/1/2022,0:00,OL41,5.93,0.05,43.4,136.1,28.8,2,377.6,0,0.45,20.66,205.84,0,21,85.3,180.4,1201,13.5
2,1/1/2022,1:00,OL41,5.94,0.04,43.6,123.1,28.7,2,379.3,0,0.45,16.21,125.27,0,20,66.63,121.4,1201,13.5
3,1/1/2022,2:00,OL41,5.92,0.05,43.9,122.9,28.6,2,381.9,0,0.46,16.06,133.49,0,19,66.01,262,1201,13.5
4,1/1/2022,3:00,OL41,5.92,0.05,44.5,129.9,28.5,2,387.2,0,0.45,17.7,155.27,0,19,72.87,175.1,1202,13.45
5,1/1/2022,4:00,OL41,5.92,0.04,46.2,151.9,28.4,2,401.9,0,0.45,23.38,252.19,0,19,96.71,187.7,1202,13.45
6,1/1/2022,5:00,OL41,5.98,0.05,45.5,135.2,28.3,2,395.9,0,0.44,20.16,180.29,0,20,83.2,86.2,1202,13.39
7,1/1/2022,6:00,OL41,5.94,0.05,45.3,125.4,28.3,2,394.1,0,0,17.85,130.27,0,18,73.48,262,1203,13.39
8,1/1/2022,7:00,OL41,5.94,0.05,45.1,111.5,28.2,2,392.4,0,0.45,15.81,97.61,0,20,64.95,333,1203,13.45
9,1/1/2022,8:00,OL41,5.95,0.04,45,96.2,28.1,2,391.5,0,0.45,14.63,80.15,0,20,59.96,249,1203,13.7
10,1/1/2022,9:00,OL41,6.83,0.44,35.5,65.9,28.5,1,308.9,0,0.49,16.82,181.14,0,20,69.12,150.9,1204,13.7
11,1/1/2022,10:00,OL41,6.89,0.09,36.9,48.2,28.6,1,321,0,0.46,8.78,44.17,0,15,36.6,19.93,1204,13.7
12,1/1/2022,11:00,OL41,6.88,0.08,37.1,54.5,28.5,1,322.8,0,0.46,13.3,96.42,0,19,54.4,70.6,1204,13.7
13,1/1/2022,12:00,OL41,6.85,0.06,36.8,59.4,28.5,1,320.2,0,0.45,16.02,132.82,0,15,65.82,46.6,1205,13.7
14,1/1/2022,13:00,OL41,6.82,0.06,37,56,28.8,1,321.9,0,0.45,16.19,118.98,0,18,66.53,13.92,1205,13.7
15,1/1/2022,14:00,OL41,6.8,0.06,38,53.2,29,1,330.6,0,0.45,14.9,94.46,0,18,61.11,8.46,1205,13.7
16,1/1/2022,15:00,OL41,6.78,0.06,39.8,53.2,29.1,1,346.3,0,0.44,14.2,85.7,0,19,57.94,8.55,1206,13.7
17,1/1/2022,16:00,OL41,6.84,0.06,40.1,52.6,29.2,1,348.9,0,0.44,13.57,79.2,0,19,55.46,4.17,1206,13.7
18,1/1/2022,17:00,OL41,6.77,0.05,39.6,52.6,29.3,1,344.5,0,0.44,13.37,71.32,0,18,54.66,3.52,1206,13.7
